,Id,No,Si,departamento,habilitados,nomarcados,nombre,nulos,total votos,validos
170,25073,2029,974,NORTE DE SANTANDER,7487,47,SALAZAR,106,3156,3003
171,25082,779,642,NORTE DE SANTANDER,3311,8,SANTIAGO,30,1459,1421
172,25085,3725,1991,NORTE DE SANTANDER,17063,78,SARDINATA,119,5913,5716
173,25088,1100,259,NORTE DE SANTANDER,3968,15,SILOS,18,1392,1359
174,25091,380,2429,NORTE DE SANTANDER,9725,45,TEORAMA,99,2953,2809
175,25093,3008,5847,NORTE DE SANTANDER,31208,99,TIBU,228,9182,8855
176,25094,2803,1311,NORTE DE SANTANDER,12026,61,TOLEDO,135,4310,4114
177,68004,76,382,VAUPES,1721,0,CARURU,7,465,458
178,68001,872,2705,VAUPES,15576,20,MITU,30,3627,3577
179,68017,65,243,VAUPES,1377,36,TARAIRA,1,345,308
180,68022,37,278,VAUPES,1035,1,YAVARATE,0,316,315
181,54003,417,1079,GUAVIARE,5482,17,CALAMAR,24,1537,1496
182,54012,142,848,GUAVIARE,4217,12,MIRAFLORES,11,1013,990
183,01004,2105,1296,ANTIOQUIA,15274,194,ABEJORRAL,52,3647,3401
184,01007,332,213,ANTIOQUIA,1938,14,ABRIAQUI,13,572,545
185,01010,696,966,ANTIOQUIA,4577,51,ALEJANDRIA,22,1735,1662
186,01013,4139,2084,ANTIOQUIA,22028,53,AMAGA,94,6370,6223
187,01016,2304,1310,ANTIOQUIA,16928,132,AMALFI,72,3818,3614
188,01019,5729,3193,ANTIOQUIA,34842,78,ANDES,93,9093,8922
189,01022,1004,553,ANTIOQUIA,5679,9,ANGELOPOLIS,23,1589,1557
190,01025,1089,705,ANTIOQUIA,9154,57,ANGOSTURA,84,1935,1794
191,01028,953,1764,ANTIOQUIA,11144,227,ANORI,40,2984,2717
192,01031,3300,2041,ANTIOQUIA,19732,52,ANTIOQUIA,102,5495,5341
193,01034,740,363,ANTIOQUIA,5715,31,ANZA,16,1150,1103
194,01035,12936,14195,ANTIOQUIA,89196,352,APARTADO,478,27961,27131
195,01037,1937,3691,ANTIOQUIA,21448,181,ARBOLETES,57,5866,5628
196,01039,1351,650,ANTIOQUIA,6627,41,ARGELIA,23,2065,2001
197,01040,676,301,ANTIOQUIA,4844,23,ARMENIA,26,1026,977
198,01043,8666,4200,ANTIOQUIA,38541,287,BARBOSA,277,13430,12866
199,01049,76122,43642,ANTIOQUIA,318411,509,BELLO,1577,121850,119764
200,01046,897,687,ANTIOQUIA,4807,16,BELMIRA,17,1617,1584
201,01052,1110,466,ANTIOQUIA,8372,11,BETANIA,22,1609,1576
202,01055,1919,1005,ANTIOQUIA,13377,50,BETULIA,49,3023,2924
203,01058,3875,1644,ANTIOQUIA,24029,57,BOLIVAR,60,5636,5519
204,01062,604,1367,ANTIOQUIA,6169,62,BRICEÑO,45,2078,1971
205,01061,890,474,ANTIOQUIA,6829,22,BURITICA,20,1406,1364
206,01064,1358,2506,ANTIOQUIA,19788,57,CACERES,83,4004,3864
207,01067,921,593,ANTIOQUIA,6091,43,CAICEDO,43,1600,1514
208,01070,16149,9292,ANTIOQUIA,60580,123,CALDAS,397,25961,25441
209,01073,604,619,ANTIOQUIA,6360,32,CAMPAMENTO,41,1296,1223
210,01076,2739,1911,ANTIOQUIA,13402,113,CAÑASGORDAS,121,4884,4650
211,01078,593,578,ANTIOQUIA,4856,16,CARACOLI,12,1199,1171
212,01079,790,568,ANTIOQUIA,5231,33,CARAMANTA,26,1417,1358
213,01080,6057,5327,ANTIOQUIA,41461,159,CAREPA,190,11733,11384
